Kernel/File,Original Type,Demoted Type,Accuracy Loss,Speedup,Performance Gain (%)
Kernel1 Multiply,FP32,FP16,0,1.31231,31.23100000000001
Kernel2 Dot Product,FP32,FP16,0,124.127,12312.699999999999
Kernel3 Polynomial,FP32,FP16,12.1476,0.518362,-48.1638
Kernel4 Filter,FP32,BF16,0.00242281,0.407989,-59.201100000000004
Kernel5 Normalize,FP32,FP16,0,0.47009,-52.991
kernel1.cpp,FP32,FP16,0.0013700000000005375,1.2290255320755861,18.634725324933346
kernel.cpp,FP32,FP16,0,0.9479175503691426,-5.4944071465472071
kernel.cpp,FP32,FP16,0,0.99050690084820503,-0.95840817905112041
kernel.cpp,FP32,FP16,0,1.1165924037746826,10.441805208466185
kernel4.cpp,FP32,FP16,0.00015999999999971593,1.2449922641272295,19.678215775820515
kernel.cpp,FP32,FP64,0,1.0482113076016848,4.5993882389985581
kernel.cpp,FP32,FP16,0.0023999999999997357,1.2425104322971527,19.517778361731711
kernel.cpp,FP32,BF16,0.0037500000000001421,1.1334072419033292,11.770459634552772
kernel.cpp,FP32,FP16,0.00015999999999971593,1.117243535394991,10.493999891755083
kernel.cpp,FP32,FP16,2.4999999999938266e-07,1.0170405494265278,1.675503443411011
kernel.cpp,FP32,FP16,2.4999999999938266e-07,0.99008698153596209,-1.0012270284232496
kernel.cpp,FP32,BF16,3.5600000000005419e-06,1.2136901032663385,17.60664461968058
mykernel3.cpp,FP32,BF16,3.5600000000005419e-06,1.2066273171261204,17.124369239232387
kernel.cpp,FP32,FP16,0,0.93876673670691779,-6.5227346580132641
kernel.cpp,FP32,FP16,0,0.88295417921576258,-13.256160233388009
mykernel3.cpp,FP32,BF16,3.5600000000005419e-06,1.070488388552352,6.5846943606436721
kernel1.cpp,FP32,FP16,0.0013700000000005375,1.4789521755121497,32.384561410600874
mykernel3.cpp,FP32,BF16,3.5600000000005419e-06,0.99541371821800972,-0.46074126748028349
kernel.cpp,FP32,FP16,0,0.89695915423989958,-11.487796882726418
kernel1.cpp,FP32,FP16,0.0013700000000005375,1.2395215643869806,19.323710959836244
ml_dot_product.cpp,FP32,FP16,0.00078000000000022496,1.0348973824221899,3.3720621015111716
ml_relu_neuron.cpp,FP32,FP16,0,0.97378614580679934,-2.6919518526813699
dsp_fir_filter.cpp,FP32,FP16,2.9000000000001247e-05,1.0804330346945408,7.4445182729238457
dsp_iir_biquad.cpp,FP32,FP16,5.3999999999998494e-05,1.2208493016904438,18.089808577082017
ml_dot_product.cpp,FP32,FP16,0.00078000000000022496,1.2092208046190644,17.302117514011382
ml_relu_neuron.cpp,FP32,FP16,0,0.96734056932564749,-3.3762081018808203
ml_relu_neuron.cpp,FP32,FP16,0,1.0725628435910934,6.7653698824903046
dsp_fir_filter.cpp,FP32,FP16,2.9000000000001247e-05,1.0066865310666313,0.66421183360291292
dsp_fir_filter.cpp,FP32,FP16,2.9000000000001247e-05,1.2561137070292188,20.389372840691504
dsp_iir_biquad.cpp,FP32,FP16,5.3999999999998494e-05,1.1629600320486506,14.012522146748504
ml_layer_norm.cpp,FP32,Mixed,4.880000000000162e-05,0.84897196402250097,-17.789519840197716
dsp_iq_power.cpp,FP32,Mixed,0.0032809999999999784,0.72211387375812441,-38.482313709839474
dsp_iq_power.cpp,FP32,Mixed,0.0032809999999999784,1.1613547523768346,13.893666172769795
ml_layer_norm.cpp,FP32,Mixed,4.880000000000162e-05,1.164905106449005,14.15609782600124
ml_layer_norm.cpp,FP32,Mixed,4.880000000000162e-05,1.1005241561570618,9.1342071498079314
ml_layer_norm.cpp,FP32,Mixed,4.880000000000162e-05,1.1128417394895351,10.139962897266605
kernel4.cpp,FP32,FP16,0.00015999999999971593,1.3015275654772323,23.167205480328867
kernel3.cpp,FP32,FP16,0.0026000000000010459,0.84551764939130458,-18.270742274854772
kernel.cpp,FP32,FP16,0,1.3011418271347508,23.14442752162509
kernel4.cpp,FP32,FP16,0.00015999999999971593,1.0695545680520586,6.5031341204718416
kernel.cpp,FP32,FP16,0,1.4309134878996184,30.11457307123014
ml_layer_norm.cpp,FP32,Mixed,4.880000000000162e-05,1.1698327347474433,14.517693829460903
